[55.03904484848715, 82.9645120366455]
[55.03935754294787, 82.97048155660617]
[55.04859281241098, 82.94845073031786]
[55.0485786344995, 82.94939067484255]
[55.04807679510204, 82.94871018392523]
[55.048208180882085, 82.94928842429351]
[55.04992818286315, 82.94433153079875]
[55.049614034614265, 82.94442269672794]
[55.0495865569336, 82.94521148504856]
[55.049584625626295, 82.94465819529603]
[55.049628779661624, 82.94493713141487]
[55.049969797584275, 82.94486340053777]
[55.05007115191381, 82.94513091517261]
[55.04984027608524, 82.94517277987514]
[55.04995132698539, 82.94466852452568]
[55.049914679680896, 82.94454137888792]
[55.07124137280758, 82.924011936747]
[55.07092367216295, 82.92409911071006]
[55.07083761404675, 82.9242492099604]
[55.06063138708341, 82.90913608530374]
[55.00587974612307, 82.96859392415928]
[55.09291413103664, 82.95400115605902]
[55.03143455293282, 82.90067963543923]
[55.030523930246666, 82.90176182557684]
[55.03009480304899, 82.90216039635345]
[55.02986055552865, 82.90171097464433]
[55.077782883308345, 82.96367059872544]
[55.03648898340722, 82.93434891340976]
[55.012495942808314, 82.92878423138797]
[55.01060178164925, 82.97153190838085]
[55.03324926161542, 82.97790134940867]
[55.04289247656652, 83.02302803335381]
[55.04056872400268, 82.95232271361756]
[55.04060957787343, 82.95314260994448]
